B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,o,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,o,B,B,o,c,B,o,B,o,B,o,B,o,o,B
B,B,B,B,B,B,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,B,o,o,o,o,o,o,o,B,B,o,B,o,o,o,B,o,B,B
B,o,o,o,o,o,o,B,o,B,B,B,B,B,B,B,B,o,B,B,B,B,B,B,B,B,B,B,B,o,B,B,B,o,B,B,B,B,o,o,o,o,o,o,B,o,B,o,c,B
B,B,B,o,B,o,B,B,o,B,B,o,o,o,o,o,B,o,B,o,o,B,B,o,o,o,o,o,o,c,B,B,B,o,B,B,B,B,B,B,o,B,B,o,B,o,B,o,c,B
B,B,B,B,B,B,c,o,o,B,B,o,B,B,B,B,B,o,B,B,o,o,B,o,B,B,B,B,B,o,B,B,B,o,B,o,o,o,o,o,B,B,B,o,B,B,B,o,c,B
B,B,o,o,o,o,o,B,o,B,B,o,B,B,B,B,B,o,B,B,o,B,B,o,o,o,o,B,B,o,B,B,B,o,B,o,B,B,o,o,o,o,o,o,o,o,o,o,c,B
B,o,o,B,B,B,B,B,o,B,B,o,B,B,B,B,B,B,B,B,o,B,B,B,B,B,o,B,B,o,o,o,B,o,o,o,B,o,B,o,B,B,o,B,o,B,B,o,B,B
B,B,o,B,B,B,c,B,B,B,B,o,B,B,B,B,B,o,o,o,o,B,o,o,o,B,o,B,B,B,B,B,B,B,B,B,B,o,B,o,B,o,o,B,o,o,B,o,B,B
B,B,o,B,o,o,o,o,o,B,o,o,o,o,B,o,B,o,B,B,B,B,o,B,o,B,o,B,B,o,B,B,B,B,B,B,B,o,B,o,B,B,B,o,B,B,o,c,o,B
B,o,o,o,o,B,B,B,o,B,B,B,B,o,B,o,o,o,B,o,B,B,o,B,B,B,o,o,o,o,B,o,o,o,o,o,o,o,o,o,B,o,B,o,B,B,o,B,B,B
B,o,B,B,o,B,c,o,o,B,B,B,B,o,B,o,B,B,B,o,B,o,o,o,o,o,o,B,B,o,B,B,o,B,B,B,B,B,B,o,o,o,o,o,o,o,o,B,o,B
B,o,B,B,o,o,c,B,o,B,B,o,o,o,o,o,B,B,B,o,B,B,B,o,B,B,o,B,B,o,B,B,o,o,o,o,o,o,B,B,B,o,B,B,o,B,B,B,o,B
B,o,B,B,o,B,B,B,o,B,B,o,B,B,B,o,o,o,o,o,o,B,B,B,B,B,B,B,B,o,B,B,B,B,B,B,B,o,B,B,B,o,B,B,o,o,o,o,o,B
B,o,o,B,o,o,o,o,o,B,B,o,B,B,B,B,B,o,B,B,B,B,B,B,o,o,o,o,B,o,o,o,o,o,o,o,o,o,B,B,B,o,o,B,o,B,B,B,B,B
B,o,B,B,B,B,o,B,B,B,o,o,o,o,o,o,B,o,B,o,B,B,B,B,o,B,B,o,B,B,B,B,B,B,B,B,B,B,B,B,B,o,B,B,B,B,B,o,B,B
B,B,B,B,B,B,o,B,B,B,B,B,B,B,B,o,B,o,o,c,o,B,B,B,o,B,B,o,B,B,o,o,o,o,o,o,o,o,B,B,o,o,o,o,o,o,o,o,o,B
B,o,o,o,o,o,c,o,o,o,o,o,o,B,B,o,B,o,B,o,B,B,B,c,o,o,o,o,B,B,o,B,B,B,B,B,B,o,B,B,o,B,o,B,o,B,o,B,o,B
B,B,B,B,B,B,B,B,B,B,B,B,o,B,B,o,B,B,B,o,B,B,B,o,B,B,B,B,B,B,o,B,B,B,B,B,B,B,o,B,o,B,o,B,o,B,B,o,o,B
B,B,o,o,o,B,o,B,B,B,o,B,o,B,B,o,B,B,B,o,B,B,B,o,B,B,o,o,o,o,o,B,B,o,B,o,B,B,o,B,o,B,B,o,B,o,B,B,B,B
B,o,B,B,B,B,o,o,B,o,o,B,o,B,o,o,o,o,o,o,o,o,o,o,B,B,o,B,B,B,o,B,B,o,B,o,B,B,o,B,o,o,o,o,o,o,o,o,o,B
B,o,B,B,B,B,o,B,o,B,o,B,o,B,B,o,B,B,B,B,B,B,B,o,B,B,o,B,B,B,o,B,B,B,B,B,B,B,o,B,B,o,B,B,B,B,B,B,o,B
B,B,o,o,B,B,o,B,B,B,o,B,o,B,B,o,B,B,B,B,B,B,o,o,o,o,o,B,B,B,o,B,o,B,B,B,o,B,o,B,B,o,B,B,o,o,o,B,o,B
B,B,B,B,o,B,o,B,B,B,o,B,o,B,B,o,o,o,o,o,o,o,B,B,B,B,o,B,B,B,o,o,B,o,o,o,B,B,o,B,B,c,B,B,o,B,o,B,o,B
B,B,B,B,o,B,o,B,B,B,o,B,o,B,B,o,B,B,o,B,o,B,B,o,o,B,o,B,B,B,B,o,B,B,o,B,B,B,o,B,B,c,B,B,o,B,o,B,o,B
B,o,o,o,B,B,o,B,B,B,o,B,o,B,B,B,o,B,o,B,o,B,B,B,o,B,B,B,B,B,B,o,c,B,B,B,B,B,o,o,B,c,B,o,o,B,B,B,o,B
B,B,B,B,B,B,B,B,B,B,B,B,o,B,o,o,c,B,o,B,B,B,B,B,o,B,B,B,o,o,o,o,B,o,o,o,o,o,o,B,B,c,B,B,o,o,o,o,o,B
B,o,o,o,o,o,o,o,o,o,o,o,o,B,o,B,B,B,o,B,o,B,B,B,o,B,B,B,B,o,B,o,o,B,B,B,B,o,o,o,B,B,B,o,o,o,B,B,B,B
B,B,B,o,B,B,B,B,B,B,o,B,B,B,o,o,o,o,o,B,o,B,o,o,o,o,B,B,B,o,B,o,B,B,B,o,o,B,o,o,o,B,o,o,o,B,o,B,o,B
B,B,B,o,B,B,B,B,B,B,o,B,B,B,B,B,B,B,B,B,o,B,o,B,B,B,B,o,o,o,B,o,B,B,B,o,B,B,B,o,o,o,o,o,B,B,o,o,o,B
B,o,o,o,B,B,B,B,B,B,o,o,o,o,B,B,B,o,B,B,o,B,o,B,B,B,B,B,B,B,B,o,B,B,B,o,B,B,B,B,o,o,o,B,o,B,o,B,B,B
B,B,B,o,o,o,o,o,o,B,B,B,B,o,B,o,o,o,B,B,o,o,o,o,B,o,o,o,o,o,o,o,o,o,o,o,o,B,B,B,B,o,B,o,o,o,o,o,B,B
B,B,B,B,o,B,B,B,o,B,B,B,B,o,B,B,B,o,B,B,o,B,B,B,B,o,B,B,o,B,B,B,B,B,B,B,o,B,B,B,B,o,B,B,B,B,B,o,o,B
B,B,B,B,o,B,B,B,o,B,B,o,o,o,B,B,B,o,B,B,o,B,o,o,o,o,o,B,o,B,o,o,o,o,o,B,o,o,B,B,B,o,o,o,o,o,B,o,B,B
B,o,o,o,o,B,B,B,o,B,B,o,B,B,B,B,B,c,B,B,o,B,B,B,B,o,B,B,o,B,o,B,B,B,B,B,o,B,o,o,o,o,B,B,B,B,B,o,o,B
B,B,B,B,o,B,o,B,B,B,o,o,o,o,o,o,B,o,B,B,c,o,o,o,B,o,B,o,o,B,c,B,o,o,o,o,o,B,o,B,B,o,B,B,o,B,B,o,B,B
B,B,B,B,o,B,o,B,B,B,o,B,o,B,B,c,o,o,o,B,o,B,B,B,B,o,B,B,B,B,o,B,o,B,B,o,o,o,o,o,o,o,o,o,o,o,o,o,o,B
B,B,B,B,o,o,o,o,B,o,o,B,o,B,B,o,B,B,B,B,o,B,B,B,B,o,o,o,o,B,o,B,o,o,o,B,B,B,B,o,o,c,c,B,o,B,B,B,B,B
B,B,B,B,B,B,o,B,B,B,o,B,o,B,o,o,o,o,o,B,o,B,B,B,B,o,o,B,o,B,o,B,B,B,B,o,o,o,B,o,B,B,B,B,o,B,o,o,o,B
B,c,o,o,o,o,o,o,B,B,o,o,o,o,o,B,B,B,o,B,o,B,B,o,B,o,B,o,o,B,o,B,o,B,B,o,B,o,B,o,B,o,o,B,o,B,B,B,o,B
B,o,B,B,o,B,B,o,B,B,o,B,B,B,o,B,B,B,o,o,o,o,o,o,B,o,o,B,o,B,o,o,o,B,B,o,B,o,B,c,B,o,B,B,o,B,o,B,o,B
B,o,o,o,o,B,B,o,B,B,c,o,o,o,c,B,B,B,o,B,o,B,B,o,B,o,B,o,o,B,B,B,o,B,B,o,B,o,B,B,B,o,B,o,o,o,o,o,c,B
B,B,B,B,o,B,B,o,o,B,o,B,o,B,o,o,o,o,B,o,B,B,B,o,B,o,o,o,o,o,o,B,o,o,B,o,B,o,o,o,o,o,B,B,B,B,B,B,o,B
B,B,B,B,o,B,B,B,o,B,o,o,o,B,o,B,B,o,o,o,o,o,B,o,B,B,B,B,o,B,o,B,o,B,B,o,B,o,B,o,B,o,B,o,o,B,o,B,o,B
B,B,B,B,o,B,B,o,o,B,o,B,o,o,o,o,B,o,B,o,B,o,B,o,o,o,B,B,o,B,o,B,o,o,o,B,B,B,B,o,B,o,B,B,o,B,o,B,o,B
B,B,B,B,o,B,B,o,o,B,c,o,o,B,c,B,o,B,B,o,B,o,o,B,B,o,B,o,o,B,o,B,o,B,B,o,B,o,B,o,B,o,o,o,o,o,c,B,o,B
B,B,B,o,o,o,B,B,B,B,B,B,o,o,o,o,o,B,B,o,B,B,B,B,o,o,o,B,o,B,o,B,o,B,B,o,o,o,B,o,B,B,B,B,B,B,o,B,o,B
B,B,B,o,B,o,o,o,o,o,B,B,o,B,o,B,o,B,B,o,B,B,o,o,o,B,B,B,B,B,B,c,o,o,o,o,o,o,o,o,o,o,o,o,o,B,o,B,o,B
