B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,c,B,B,c,B,B,B,B,B,B,B,B,c,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,c,B,o,B,B,o,o,o,o,o,c,B,c,o,o,o,o,B,o,o,o,o,o,B,B,B,B,B
B,B,o,o,o,c,B,o,B,B,B,B,B,c,B,B,B,B,o,B,o,B,B,B,o,B,B,c,B,B
B,B,o,B,B,B,B,o,B,B,B,B,B,o,o,o,B,B,o,B,o,B,c,B,o,o,o,o,c,B
B,o,o,c,B,B,B,o,B,B,B,B,B,o,B,o,B,B,o,B,o,B,o,B,o,B,B,B,B,B
B,o,B,B,B,B,B,o,B,B,B,o,o,o,o,o,o,o,o,o,o,B,o,B,o,o,o,o,c,B
B,o,B,o,c,B,B,o,o,o,B,o,B,B,B,o,B,o,B,B,B,B,o,B,o,B,B,B,B,B
B,o,o,o,B,B,B,B,B,o,B,o,B,c,o,o,B,o,o,o,o,o,o,B,o,o,o,B,B,B
B,B,B,o,B,B,c,B,o,o,o,o,o,B,B,B,B,B,B,B,B,o,B,B,o,B,o,B,B,B
B,B,B,o,B,B,o,B,o,B,B,B,o,B,c,o,c,B,c,o,B,o,c,B,o,B,o,c,B,B
B,B,o,o,o,o,o,o,o,B,B,B,o,B,o,B,o,B,B,o,B,o,B,B,o,B,o,o,o,B
B,B,o,B,B,B,B,B,B,c,o,o,o,B,c,o,o,o,B,o,o,o,c,B,o,B,B,B,o,B
B,B,o,B,B,c,B,B,c,B,B,o,B,B,B,o,B,o,B,B,B,B,B,B,o,B,c,o,o,B
B,B,o,o,o,o,B,o,o,o,B,o,o,o,o,o,B,o,B,o,c,c,o,B,o,B,B,B,o,B
B,B,o,B,B,B,B,o,B,o,B,B,B,B,B,B,B,o,B,o,o,o,o,B,o,B,o,o,o,B
B,B,o,B,o,o,o,o,B,o,o,o,o,o,o,o,o,o,B,o,o,o,o,B,o,B,o,B,o,B
B,B,o,B,o,B,B,o,B,B,B,B,B,B,B,B,B,B,B,o,o,o,o,B,o,B,o,c,o,B
B,o,o,B,o,B,B,o,o,o,o,B,B,c,o,o,o,o,o,o,o,o,o,B,o,B,c,o,c,B
B,o,B,B,c,B,c,B,B,B,o,B,B,c,o,o,o,o,o,o,o,o,o,B,o,B,B,B,B,B
B,o,B,B,B,B,o,B,c,B,o,B,B,B,B,B,B,B,o,B,B,B,B,B,o,B,B,B,B,B
B,o,o,o,o,o,o,o,o,B,o,o,o,o,o,o,o,o,o,B,c,o,o,o,o,o,o,o,B,B
B,o,B,B,B,B,B,B,B,B,B,B,B,B,e,B,B,B,B,B,B,B,B,B,B,B,B,o,B,B
B,o,o,o,o,o,o,o,c,B,o,o,o,o,B,o,o,o,o,B,c,o,o,o,o,o,o,o,B,B
B,B,B,B,B,B,o,B,B,B,o,B,B,o,c,o,B,B,o,B,B,B,o,B,B,B,B,B,B,B
B,o,o,o,o,o,o,B,c,B,o,B,B,B,o,B,B,B,o,B,c,B,o,o,o,o,o,o,B,B
B,o,B,B,B,B,B,B,o,o,o,B,o,o,o,o,o,B,o,o,o,B,B,B,B,B,B,o,B,B
B,o,o,o,o,o,o,o,o,B,B,B,o,B,o,B,o,B,B,B,o,o,o,o,o,o,o,o,B,B
B,B,B,B,B,B,B,B,c,B,B,B,c,B,s,B,c,B,B,B,c,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
